20140901,384923292,295225996
20140902,298987251,256082967
20140903,346522652,343346264
20140904,357307213,299969484
20140905,293810501,248545806
20140906,210222307,164487115
20140907,199290492,180451794
20140908,340690686,310507832
20140909,339592521,285160577
20140910,393402545,299304484
20140911,319535529,312102910
20140912,242287719,247540822
20140913,171507394,182695906
20140914,187724656,223656082
20140915,340609076,288078578
20140916,368681421,364266900
20140917,288825502,343828360
20140918,308434771,285582439
20140919,246782532,252709890
20140920,198569978,157484163
20140921,192415639,213059563
20140922,275972489,326145437
20140923,264008791,305324871
20140924,267283249,341398250
20140925,263683605,321294509
20140926,214782371,301245505
20140927,160310909,210892711
20140928,179463652,261017090
20140929,273552869,335133879
20140930,272869958,340717957
