20140901,344253148,335100302
20140902,313743942,325653743
20140903,296328569,346650728
20140904,264568017,313492400
20140905,271886001,276104862
20140906,219750976,209221112
20140907,243446804,239425114
20140908,322887594,324799830
20140909,304253593,322176346
20140910,290332342,349769561
20140911,264383485,317115868
20140912,269128757,271212998
20140913,220190292,211279375
20140914,243399398,243956370
20140915,319284171,318719103
20140916,304274620,320354104
20140917,289881085,352927977
20140918,266900321,319196643
20140919,268235713,267255977
20140920,221492346,214242545
20140921,243815264,247154692
20140922,316165917,312597156
20140923,304274144,319664537
20140924,289645597,355771091
20140925,269214618,320080380
20140926,267553324,264348642
20140927,222763696,217727989
20140928,244201049,249104527
20140929,313237534,306744620
20140930,304124372,319893442
