20140901,326841356,345584795
20140902,332995978,321934581
20140903,319804009,317908030
20140904,312579400,281763962
20140905,246649751,267566303
20140906,192699186,183478360
20140907,192952356,208641764
20140908,323146039,344912771
20140909,329300661,321262557
20140910,316108693,317236007
20140911,308884083,281091938
20140912,242954434,266894279
20140913,189003869,182806336
20140914,189257039,207969740
20140915,319450722,344240747
20140916,325605344,320590533
20140917,312413376,316563983
20140918,305188766,280419914
20140919,239259117,266222255
20140920,185308552,182134312
20140921,185561722,207297716
20140922,315755405,343568723
20140923,321910027,319918509
20140924,308718059,315891959
20140925,301493449,279747891
20140926,235563800,265550231
20140927,181613235,181462288
20140928,181866406,206625693
20140929,312060088,342896700
20140930,318214710,319246486
